name             R.A.(J2000) Dec  nH20  t_exp  cr_VTP  r_VTP  cr_final cr_err   kT     z     fx(-12)  lx(44)  z_ref
RXJ0000.1+0816    0.044     8.277   5.3   436     0.24    6.1     0.29   0.07 	 2.3e  0.0396  	  5.6  	 0.38  	(17)
A7                2.946    32.420   5.3   378     0.47    6.4     0.53   0.10 	 6.2e  0.1073  	 10.3  	 5.01  	(42)
A21               5.133    28.663   4.4   400     0.43    7.6     0.51   0.10 	 5.5e  0.0955  	  9.4  	 3.66  	(42)
IV_Zw_015         5.407    28.064   4.4   407     0.22    5.9     0.26   0.07 	 4.2e  0.0943  	  4.8  	 1.82  	(17)
A68               9.272     9.153   4.6   322     0.25    6.7     0.29   0.08 	10.0e  0.2546  	  5.5  	14.89  	(17)
A75               9.862    21.255   3.4   432     0.29    7.7     0.34   0.08 	 3.2e  0.0619  	  5.8  	 0.95  	(42)
A76              10.002     6.818   3.9   294     0.48    9.6     0.65   0.14 	 1.5   0.0395  	 11.0  	 0.74  	(20)
A77              10.123    29.549   5.1   422     0.35    6.9     0.41   0.09 	 4.0e  0.0712  	  7.9  	 1.71  	(38)
A84              10.444    21.374   3.4   417     0.32    7.1     0.38   0.08 	 5.0e  0.1014  	  6.5  	 2.84  	(20)
Z235             10.967    24.402   4.1   435     0.56    6.3     0.61   0.10 	 5.2e  0.0830  	 10.9  	 3.22  	 (2)
A104             12.452    24.441   4.3   455     0.34    6.6     0.39   0.08 	 4.3e  0.0815  	  7.1  	 2.01  	(18)
A115             13.999    26.378   5.2   313     0.40    7.9     0.46   0.11 	 9.8e  0.1971  	  9.0  	14.59  	(42)
RXJ0058.9+2657   14.731    26.959   5.5   424     0.19    7.0     0.24   0.07 	 2.4e  0.0470  	  4.6  	 0.44  	(12)
IV_Zw_038        16.868    32.462   5.3   471     0.42    9.3     0.53   0.10 	 1.5e  0.0170  	  9.9  	 0.12  	 (3)
A147             17.040     2.182   2.9   435     0.31    7.6     0.39   0.09 	 2.6e  0.0447  	  6.2  	 0.54  	(20)
A160             18.255    15.489   4.1   309     0.21    7.2     0.25   0.08 	 2.3e  0.0442  	  4.5  	 0.38  	(42)
A168             18.787     0.354   3.3   436     0.55   10.5     0.66   0.11 	 2.6   0.0448  	 11.0  	 0.95  	(47)
RXJ0123.2+3327   20.801    33.461   5.0   379     0.32    5.4     0.34   0.08 	 1.2e  0.0146  	  6.0  	 0.05  	(45)
RXJ0123.6+3315   20.921    33.261   5.0   379     0.81    9.7     0.92   0.14 	 1.8e  0.0164  	 17.1  	 0.20  	(45)
A193             21.266     8.688   4.7   264     0.71    8.6     0.83   0.16 	 4.2   0.0491  	 15.4  	 1.59  	(32)
A189             21.353     1.741   3.1   436     0.31    6.7     0.39   0.09 	 1.3e  0.0181  	  6.1  	 0.09  	(42)
A262             28.191    36.157   5.3   346     2.07   11.2     2.53   0.25 	 2.4   0.0163  	 48.6  	 0.55  	(20)
A267             28.203     1.019   2.8   437     0.33    6.5     0.38   0.08 	 9.7e  0.2300  	  6.2  	13.71  	(10)
A272             28.766    33.898   5.2   332     0.44    5.3     0.52   0.11 	 5.2e  0.0872  	 10.1  	 3.27  	(47)
RXJ0228.2+2811   37.069    28.184   7.4   295     0.19    5.2     0.23   0.08 	 2.0e  0.0350  	  4.9  	 0.26  	(46)
A376             41.534    36.887   5.9   570     0.56    8.2     0.68   0.10 	 5.1   0.0488  	 13.6  	 1.38  	 (7)
A400             44.412     6.006   8.9   266     0.58    9.3     0.73   0.15 	 2.1   0.0238  	 16.2  	 0.40  	(47)
A399             44.457    13.053  10.6   413     1.08   11.0     1.23   0.15 	 5.8   0.0722  	 28.8  	 6.40  	(20)
A401             44.737    13.573  10.6   474     1.70   10.6     1.84   0.17 	 7.8   0.0739  	 42.8  	 9.94  	(20)
Z808             45.409     1.927   7.5   239     0.21    4.8     0.24   0.08 	 6.8e  0.1690  	  5.1  	 6.12  	(10)
A407             45.456    35.835   9.8   485     0.19    5.5     0.23   0.06 	 2.5e  0.0464  	  5.4  	 0.50  	(42)
A409             45.849     1.926   7.1   259     0.20    4.6     0.22   0.08 	 6.1e  0.1530  	  4.7  	 4.63  	(10)
2A_0335+096      54.675     9.977  16.4   403     2.79   12.0     2.95   0.24 	 3.0   0.0349  	 80.5  	 4.21  	(27)
RXJ0341.3+1524   55.342    15.405  14.2   376     0.48    7.2     0.60   0.12 	 2.6e  0.0290  	 15.5  	 0.56  	(10)
RXJ0352.9+1941   58.249    19.690  13.4   348     0.28    5.6     0.31   0.08 	 5.7e  0.1090  	  7.9  	 3.98  	(10)
A478             63.359    10.466  13.9   285     1.48    9.7     1.57   0.20 	 6.8   0.0882  	 39.9  	13.19  	(47)
RXJ0419.6+0225   64.911     2.420  10.8   289     1.70   14.5     1.95   0.23 	 2.1e  0.0123  	 45.7  	 0.30  	(45)
RXJ0439.0+0715   69.755     7.260  10.2   377     0.19    4.9     0.23   0.07 	 9.5e  0.2443  	  5.3  	13.25  	(17)
RXJ0439.0+0520   69.766     5.339   9.7   394     0.19    4.5     0.21   0.06 	 7.9e  0.2080  	  4.8  	 8.62  	(10)
A520             73.531     2.920   7.4   412     0.34    5.4     0.40   0.09 	 9.8e  0.2030  	  8.4  	14.44  	(37)
A523             74.797     8.774  12.0   418     0.14    4.9     0.19   0.06 	 4.3e  0.1000  	  4.5  	 1.94  	(19)
RXJ0503.1+0608   75.777     6.135   9.3   422     0.23    5.5     0.30   0.08 	 4.5e  0.0880  	  6.8  	 2.26  	(10)
A566            106.093    63.275   5.6   356     0.49    9.5     0.59   0.11 	 6.1e  0.0980  	 11.6  	 4.73  	(42)
Z1261           109.154    53.388   6.4   353     0.17    5.5     0.22   0.07 	 2.8   0.0644  	  4.5  	 0.81  	(16)
A576            110.382    55.764   5.4   278     0.98   10.3     1.15   0.18 	 3.7   0.0381  	 22.4  	 1.39  	(47)
A586            113.093    31.634   5.4   455     0.42    6.2     0.46   0.09 	 8.7e  0.1710  	  9.1  	11.12  	(37)
UGC_03957       115.239    55.437   4.7   402     0.90    8.7     1.00   0.14 	 3.2e  0.0341  	 18.6  	 0.93  	(28)
RXJ0751.3+5012  117.842    50.211   5.0   456     0.45   10.4     0.55   0.10 	 1.8e  0.0220  	 10.1  	 0.21  	(12)
A602            118.351    29.366   4.3   436     0.32    6.4     0.38   0.08 	 3.4e  0.0621  	  6.9  	 1.14  	(19)
Z1478           119.919    53.999   4.0   445     0.24    6.3     0.29   0.07 	 4.6e  0.1038  	  5.2  	 2.38  	(17)
