name             R.A.(J2000) Dec  nH20  t_exp  cr_VTP  r_VTP  cr_final cr_err   kT     z     fx(-12)  lx(44)  z_ref
A2700             0.954     2.068   3.0   412     0.20    4.1     0.23   0.06 	 3.9   0.0994  	  3.7  	 1.59  	(27)
RXJ0004.9+1142    1.233    11.701   5.3   441     0.16    4.6     0.18   0.05 	 3.1   0.0761  	  3.5  	 0.87  	(28)
Z15               1.572    10.868   5.3   440     0.15    5.7     0.18   0.06 	 5.9   0.1675  	  3.5  	 4.17  	 (7)
Z28               2.237    41.177   7.3   401     0.16    4.4     0.18   0.06 	 5.6   0.1537  	  3.8  	 3.79  	 (7)
A16               4.199     6.749   4.5   512     0.14    5.6     0.17   0.05 	 3.2   0.0838  	  3.0  	 0.92  	(21)
RXJ0027.6+2616    6.924    26.272   3.8   388     0.14    4.5     0.19   0.06 	11.1   0.3649  	  3.3  	17.97  	 (7)
Z193              9.149    25.744   4.0   404     0.15    5.0     0.17   0.06 	 1.6   0.0341  	  3.0  	 0.15  	 (7)
Z348             16.702     1.045   3.0   434     0.21    4.1     0.22   0.06 	 8.4   0.2545  	  3.6  	 9.80  	 (7)
A156             17.925    33.453   5.1   472     0.16    5.7     0.19   0.06 	 4.5   0.1173  	  3.7  	 2.17  	 (7)
RXJ0142.0+2131   25.511    21.522   6.4   406     0.13    4.1     0.15   0.05 	 8.5   0.2803  	  3.0  	 9.90  	 (7)
A260             27.687    33.090   4.7   344     0.15    3.7     0.19   0.07 	 1.8   0.0363  	  3.5  	 0.20  	(26)
A278             29.357    32.224   5.1   321     0.14    3.5     0.18   0.07 	 3.5   0.0894  	  3.4  	 1.18  	(18)
A311             32.385    19.764   8.1   280     0.15    4.3     0.20   0.08 	 3.0   0.0657  	  4.4  	 0.81  	(29)
RXJ0437.1+0043   69.285     0.728   7.7   564     0.15    3.4     0.17   0.05 	 9.3   0.2850  	  3.6  	12.25  	 (7)
RXJ0448.2+0953   72.054     9.890  12.2   408     0.14    4.6     0.17   0.06 	 5.9   0.1540  	  4.2  	 4.21  	 (7)
A554             94.657    67.410   7.1   379     0.11    4.0     0.14   0.05 	 3.9   0.1123  	  2.9  	 1.55  	 (7)
A565            107.021    71.864   4.5   453     0.12    4.4     0.16   0.05 	 3.7   0.1053  	  2.9  	 1.37  	(29)
A572            108.580    54.685   5.9   393     0.11    4.1     0.15   0.06 	 3.7   0.1043  	  3.0  	 1.39  	 (7)
A580            111.518    41.389   6.6   462     0.14    5.1     0.18   0.06 	 4.3   0.1118  	  3.6  	 1.95  	 (7)
Z1370           115.438    74.243   3.5   456     0.22    3.7     0.23   0.06 	 7.7   0.2160  	  4.0  	 7.90  	(22)
Z1432           117.850    17.513   4.4   338     0.17    2.7     0.19   0.06 	 6.5   0.1894  	  3.5  	 5.27  	 (7)
A611            120.233    36.061   4.8   445     0.18    5.1     0.21   0.06 	 9.7   0.2880  	  4.0  	13.60  	 (5)
A621            122.809    70.031   3.4   474     0.19    4.4     0.22   0.06 	 7.6   0.2230  	  3.7  	 7.79  	 (5)
RXJ0820.9+0751  125.248     7.854   2.5   332     0.23    4.3     0.26   0.08 	 4.4   0.1100  	  4.0  	 2.09  	 (5)
Z1693           126.497     4.263   2.9   314     0.18    4.1     0.21   0.07 	 7.5   0.2248  	  3.5  	 7.46  	 (7)
Z1883           130.747    29.476   3.9   309     0.21    5.2     0.22   0.07 	 7.0   0.1940  	  4.0  	 6.41  	(22)
A743            136.614    10.345   3.7   360     0.17    4.9     0.20   0.07 	 4.9   0.1328  	  3.6  	 2.71  	 (7)
A744            136.857    16.654   3.5   372     0.16    4.9     0.20   0.06 	 3.0   0.0733  	  3.3  	 0.77  	(22)
A779            139.922    33.763   1.7   449     0.22    5.0     0.29   0.07 	 1.4   0.0230  	  3.8  	 0.09  	(12)
Z2379           141.795    53.450   1.7   518     0.20    3.9     0.22   0.06 	 6.7   0.2052  	  3.2  	 5.71  	 (7)
A854            145.517     8.973   3.0   290     0.20    4.4     0.23   0.08 	 7.3   0.2075  	  3.8  	 6.94  	 (6)
A853            145.565    15.382   3.4   439     0.18    4.9     0.20   0.06 	 5.8   0.1649  	  3.5  	 4.05  	 (7)
Z2661           147.498    17.141   3.1   427     0.23    5.0     0.26   0.07 	12.9   0.3825  	  4.3  	25.75  	(12)
RXJ1000.5+4409  150.130    44.154   1.0   510     0.24    3.6     0.25   0.06 	 5.2   0.1530  	  3.1  	 3.08  	 (5)
A910            150.773    67.156   3.5   499     0.14    4.3     0.18   0.05 	 6.6   0.2055  	  3.1  	 5.52  	(23)
A923            151.666    25.924   2.7   348     0.20    3.9     0.22   0.07 	 4.4   0.1162  	  3.6  	 2.07  	(18)
A964            154.151    24.806   2.3   453     0.16    4.0     0.19   0.06 	 3.0   0.0811  	  2.8  	 0.81  	(10)
